Radius,Mass,Period,SemiMajorAxis,EqTemp,Density,StarTemp,StarLum,StarMet,Insolation,Target_Habitable,Habitability_Score,Log_Period,Star_Type_G,Star_Type_K,Star_Type_M,Star_Type_Other
2.43,4914.89848585,323.21,1.178,912.0,1.527272,4874.0,1.97823,-0.26,62.3,0,0.11795592207881407,5.781391453983184,True,False,False,False
2.43,4684.8142,516.21997,1.53,912.0,1.527272,4213.0,-0.10297,-0.02,62.3,0,0.11795592207881407,6.248468257907895,False,False,False,True
2.43,1131.15130051,186.76,0.775,912.0,1.527272,4888.0,1.83992,-0.21,62.3,0,0.11795592207881407,5.235164551542768,False,True,False,False
2.43,2559.47216157,1765.0389,2.774,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,7.476494408101378,False,False,False,True
2.43,565.7374,798.5,1.66,912.0,1.527272,5750.0,-0.10297,0.06,62.3,0,0.11795592207881407,6.683986532274009,False,False,False,True
2.43,1373.01871824,578.38,1.45,912.0,1.527272,4157.0,2.25435,-0.01,62.3,0,0.11795592207881407,6.361958566272094,False,True,False,False
2.43,2926.24614325,982.85,2.476,912.0,1.527272,4980.0,1.63367,-0.06,62.3,0,0.11795592207881407,6.891473446407854,True,False,False,False
2.43,3000.0,11.12522242,330.0,1700.0,1.527272,4060.0,-0.37,0.02,62.3,0,0.08224494968807429,2.495287780572825,False,True,False,False
2.43,280.64248338,30.33,0.194,912.0,1.527272,4816.0,1.87691,-0.78,62.3,0,0.11795592207881407,3.4445761049641,True,False,False,False
2.43,632.46,452.8,1.333,912.0,1.527272,5098.0,1.164,-0.03,62.3,0,0.11795592207881407,6.117656572345742,False,False,False,True
2.43,273.32,883.0,2.08,912.0,1.527272,5098.0,1.164,-0.03,62.3,0,0.11795592207881407,6.784457062637643,False,False,False,True
2.43,1271.313628,11.12522242,118.0,1450.0,1.527272,3100.0,-1.16368,0.01,62.3,0,0.08566650524274512,2.495287780572825,False,False,True,False
2.43,4131.79,11.12522242,84.0,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,2.495287780572825,False,False,True,False
